SampleName,Type
CRC1194PRX0A02003TUMR01000,PRX
CRC1681LMX0B02002TUMR01000,LMX
CRC0317PRX0B01201TUMR01000,PRX
CRC0356LMX0A03005TUMR01000,LMX
CRC1336LMX0A02001TUMR01000,LMX
CRC1137LMX0A02002TUMR01000,LMX
CRC0783LMX0B02001TUMR01000,LMX
CRC1435PRX0A01001TUMR01000,PRX
CRC0321LMX0A02201TUMR04000,LMX
CRC0118LMX0A02204TUMR04000,LMX
CRC0474PRX0B02001TUMR01000,PRX
CRC1562LMX0B04007TUMR01000,LMX
CRC1344LMX0A02001TUMR01000,LMX
CRC1264LMX0A03033TUMR01000,LMX
CRC0730LMX0A02002TUMR01000,LMX
CRC1281LMX0A02003TUMR01000,LMX
CRC1382PRX0A01001TUMR01000,PRX
CRC1420PRX0A01001TUMR01000,PRX
CRC0406LMX0B02003TUMR02000,LMX
CRC0512LMX0B02003TUMR02000,LMX
CRC0536LMX0B02003TUMR02000,LMX
CRC0498PRX0B01001TUMR01000,PRX
CRC0451LMX0A02001TUMR01000,LMX
CRC0475LMX0B02004TUMR02000,LMX
CRC0488LMX0B02002TUMR01000,LMX
CRC1182LMX0A02001TUMR02000,LMX
CRC0490LMX0A03009TUMR01000,LMX
CRC0243LMX0A02203TUMR01000,LMX
CRC1599LMX0A02002TUMR05000,LMX
CRC0159LMX0A02203TUMR01000,LMX
CRC0027LMX0B02201TUMR02000,LMX
CRC1182LMX0A03007TUMR05000,LMX
CRC0077LMX0B02201TUMR02000,LMX
CRC0139LMX0A02204TUMR04000,LMX
CRC0154LMX0A02204TUMR02000,LMX
CRC0332LMX0A02002TUMR02000,LMX
CRC0622PRX0A01001TUMR01000,PRX
CRC1331LMX0B04011TUMR01000,LMX
CRC0055LMX0A02201TUMR02000,LMX
CRC1360LMX0B05010TUMR05000,LMX
CRC0529LMX0A02003TUMR02000,LMX
CRC1067LMX0A03002TUMR02000,LMX
CRC0197LMX0B02201TUMR02000,LMX
CRC0520LMX0A02001TUMR01000,LMX
CRC0349LMX0A02201TUMR02000,LMX
CRC1144PRX0B02003TUMR01000,PRX
CRC0574LMX0A02001TUMR02000,LMX
CRC0349LMX0A03011TUMR01000,LMX
CRC1370PRX0A01001TUMR05000,PRX
CRC1391PRX0A01001TUMR01000,PRX
CRC0400LMX0A02002TUMR01000,LMX
CRC0318LMX0A02201TUMR01000,LMX
CRC1473LMX0B02003TUMR01000,LMX
CRC0153LMX0B05026TUMR02000,LMX
CRC1343PRX0A02003TUMR01000,PRX
CRC0343LMX0A02201TUMR07000,LMX
CRC0153LMX0B02204TUMR04000,LMX
CRC0028LMX0A02201TUMR01000,LMX
CRC1280PRX0B02002TUMR01000,PRX
CRC0053PRX0A02203TUMR01000,PRX
CRC1240LMX0B02001TUMR05000,LMX
CRC0534LMX0A04038TUMR09000,LMX
CRC0334LMX0B02201TUMR05000,LMX
CRC0435LMX0A02001TUMR04000,LMX
CRC0333PRX0A01201TUMR01000,PRX
CRC0309LMX0B02201TUMR02000,LMX
CRC0217LMX0A02201TUMR02000,LMX
CRC0602LMX0B02004TUMR01000,LMX
CRC0601PRX0A01001TUMR01000,PRX
CRC0137LMX0A02201TUMR04000,LMX
CRC1562LMX0A02001TUMR01000,LMX
CRC1321LMX0B02002TUMR01000,LMX
CRC1723LMX0A02002TUMR05000,LMX
CRC0276LMX0A02001TUMR04000,LMX
CRC2113LMX0B02001TUMR01000,LMX
CRC0502LMX0A02001TUMR01000,LMX
CRC1275PRX0B02002TUMR01000,PRX
CRC0560LMX0A02001TUMR01000,LMX
CRC0597LMX0A02001TUMR01000,LMX
CRC0409PRX0A01001TUMR01000,PRX
CRC0373PRX0A01201TUMR02000,PRX
CRC1082PRX0A02001TUMR01000,PRX
CRC1412LMX0A02001TUMR01000,LMX
CRC0481PRX0A01001TUMR01000,PRX
CRC0682PRX0A01001TUMR01000,PRX
CRC1315PRX0B01001TUMR01000,PRX
CRC0202LMX0B06034TUMR02000,LMX
CRC0572LMX0B02001TUMR01000,LMX
CRC0449PRX0A01001TUMR01000,PRX
CRC0481LMX0A02001TUMR01000,LMX
CRC1240PRX0B02002TUMR01000,PRX
CRC0119LMX0B02201TUMR02000,LMX
CRC0112LMX0A02202TUMR01000,LMX
CRC0516LMX0B03006TUMR09000,LMX
CRC0593LMX0A02001TUMR01000,LMX
CRC1063PRX0B02002TUMR01000,PRX
CRC0145LMX0B02203TUMR01000,LMX
CRC0574LMX0A04007TUMR01000,LMX
CRC1372PRX0A01001TUMR01000,PRX
CRC0030LMX0B05310TUMR02000,LMX
CRC1446LMX0B02003TUMR05000,LMX
CRC0508LMX0A03002TUMR05000,LMX
CRC0689PRX0A01001TUMR01000,PRX
CRC1624LMX0A01001TUMR09000,LMX
CRC1174PRX0A01001TUMR01000,PRX
CRC1429PRX0A01001TUMR01000,PRX
CRC1353LMX0A02001TUMR01000,LMX
CRC1367LMX0A02002TUMR01000,LMX
CRC0734LMX0A02002TUMR01000,LMX
CRC1675LMX0A02003TUMR01000,LMX
CRC0427LMX0A02004TUMR02000,LMX
CRC0204LMX0A02201TUMR05000,LMX
CRC0176LMX0B02203TUMR05000,LMX
CRC1357PRX0B02001TUMR01000,PRX
CRC0771LMX0B02003TUMR01000,LMX
CRC0607LMX0A02002TUMR01000,LMX
CRC1277LMX0A02003TUMR01000,LMX
CRC1075LMX0A02002TUMR01000,LMX
CRC0438LMX0A02001TUMR01000,LMX
CRC0393PRX0B01001TUMR01000,PRX
CRC0771LMX0B03005TUMR05000,LMX
CRC0121LMX0A07210TUMR02000,LMX
CRC0050PRX0A02201TUMR03000,PRX
CRC1307LMX0A02002TUMR01000,LMX
CRC1242PRX0A02002TUMR01000,PRX
CRC1502LMX0A03012TUMR05000,LMX
CRC1568LMX0B02002TUMR01000,LMX
CRC0202LMX0B02201TUMR04000,LMX
CRC0493LMX0A02003TUMR05000,LMX
CRC1414PRX0A01001TUMR01000,PRX
CRC0399LMX0A03007TUMR09000,LMX
CRC0551LMX0A02004TUMR01000,LMX
CRC0138LMX0B02201TUMR01000,LMX
CRC1288PRX0B02004TUMR01000,PRX
CRC0404LMX0B03003TUMR05000,LMX
CRC0566PRX0B01001TUMR01000,PRX
CRC0030LMX0B05346TUMR02000,LMX
CRC1502LMX0A03008TUMR01000,LMX
CRC0516LMX0B03010TUMR09000,LMX
CRC0542LMX0B03003TUMR05000,LMX
CRC0666PRX0A01001TUMR01000,PRX
CRC0195PRX0A01201TUMR01000,PRX
